Investor,Country,Count,Percentage
Jiangsu Sha Steel Group,China,1,50
Jiangsu Sha Steel Group,United Kingdom,1,50
Jinhui Xingye,China,1,100
Johnson & Johnson Innovation,United States,1,100
Jove Equity Partners,United States,1,100
Jump Capital,Other,1,17
Jump Capital,United States,5,83
Jump Crypto,Other,1,100
Jungle Ventures,Other,2,100
Just Eat,Other,1,100
Juxtapose,United States,1,100
K2 Global,Other,1,100
K2 Ventures,China,2,100
K2VC,China,3,100
K9 Ventures,United States,1,100
KCK Group,Other,1,100
KKR,China,3,30
KKR,Other,1,10
KKR,United States,6,60
KTB Ventures,United States,1,100
Kaalari Capital,Other,1,100
Kae Capital,Other,1,100
Kaiser Permanente Ventures,United States,1,100
Kalaari Capital,Other,3,100
Kaszek Ventures,Other,6,100
Kefa Capital,China,1,100
Kenetic Capital,United States,1,100
Kerala Ventures,Other,1,100
Khosla Ventures,United States,22,100
Kibo Ventures,Other,1,50
Kibo Ventures,United States,1,50
Kickstart Fund,United States,1,100
Kima Ventures,United Kingdom,1,100
Kindred Capital,United Kingdom,1,100
Kinnevik,Other,3,100
Kite Ventures,United States,1,100
Kleiner Perkins Caufield & Byers,China,1,4
Kleiner Perkins Caufield & Byers,Other,2,9
Kleiner Perkins Caufield & Byers,United States,20,87
Kleiner Perkins Caulfield & Byers,United States,1,100
Knox Lane,United States,1,100
Koch Disruptive Technologies,Other,1,33
Koch Disruptive Technologies,United States,2,67
Korea Investment Partners,Other,1,100
Korea Investment Private Equity,Other,1,100
Korelya Capital,Other,1,100
Kraken Ventures,United States,1,100
Krungsri Finnovate,Other,1,100
Kuang-Chi,Other,1,100
L Capital Partners,Other,1,100
L Catterton,United States,3,100
L'Occitane,Other,1,100
LGT Capital Partners,United Kingdom,1,100
LRVHealth,United States,1,100
LTW Capital,China,1,100
Lakestar,Other,2,50
Lakestar,United Kingdom,1,25
Lakestar,United States,1,25
Launchpad Venture Group,United States,1,100
Lead Edge Capital,United States,1,100
Leaders Fund,United States,1,100
LeapFrog Investments,United Kingdom,1,100
Left Lane Capital,Other,2,40
Left Lane Capital,United States,3,60
Legend Capital,China,3,100
Legend Star,China,1,100
Lemniscap VC,Canada,1,100
Lenovo Capital and Incubator,China,1,100
Leonardo DiCaprio,United States,1,100
Lerer Hippeau,United States,4,100
Leta Capital,United States,1,100
Liberty City Ventures,United States,2,100
Liberty Global Ventures,United States,2,100
Liberty Gloval Ventures,United States,1,100
Liberty Strategic Capital,United States,1,100
Lifeline Ventures,Other,1,100
Light Street Capital,Other,1,100
Lightbank,United States,1,100
Lightbox Ventures,Other,1,100
Lightrock,Other,2,100
Lightspeed China Partners,China,2,100
Lightspeed India Partners,Other,4,100
Lightspeed Venture Capital,United States,1,100
Lightspeed Venture Partners,Other,5,12
Lightspeed Venture Partners,United Kingdom,3,8
Lightspeed Venture Partners,United States,32,80
Lindeman Asia Investment,Other,1,100
Linear Venture,China,4,80
Linear Venture,Other,1,20
LocalGlobe,Other,1,50
LocalGlobe,United Kingdom,1,50
Lockheed Martin Ventures,United States,1,100
Loeb.NYC,United States,1,100
Lone Pine Capital,United States,1,100
Longfor Capitalm,China,1,100
Longitude Capital,United States,1,100
Longzhu Capital,China,1,100
Lowercase Capital,United States,2,100
LowercaseCapital,United States,1,100
Lupa Systems,United States,1,100
Lux Capital,United States,5,100
M12,Other,2,25
M12,United States,6,75
M13,United States,2,100
MMC Ventures,United Kingdom,1,100
MSA Capital,China,1,100
MSD Capital,Other,1,100
MaC Venture Capital,United States,1,100
Madera Technology Partners,United States,1,100
Madrona Venture Group,United States,7,100
Madrone Capital Partners,United States,1,100
Maersk Growth,United States,2,100
Magma Venture Partners,United States,1,100
Makers Fund,Other,1,100
Malabar Investments,Other,1,100
Mangrove Capital Partners,United Kingdom,1,50
Mangrove Capital Partners,United States,1,50
Maniv Mobility,Other,1,100
Marathon Venture Partners,China,1,100
March Capital Partners,United States,3,100
Marchmont Ventures,United Kingdom,1,100
Marcy Venture Partners,United States,1,100
Marshland Capital,United Kingdom,1,100
MassMutual Ventures,United States,1,100
Material Impact,United States,1,100
Matrix Partmers,United States,1,100
Matrix Partners,Other,1,11
Matrix Partners,United States,8,89
Matrix Partners China,China,10,83
Matrix Partners China,Other,2,17
Matrix Partners India,Other,5,100
Maverick Capital,United States,1,100
Maverick Ventures,United States,1,100
Maverick Ventures Israel,United States,1,100
Maveron,United States,2,100
Max Ventures,United States,2,100
Mayfair Equity Partners,United Kingdom,1,100
Mayfield,Other,1,33
Mayfield,United States,2,67
Mayfield Fund,United States,3,100
McKesson Ventures,United States,1,100
Meituan Dianping,China,2,100
Menlo Ventures,United States,10,100
MenloVentures,United States,1,100
Meridian Capital,China,1,100
Merieux Equity Partners,Other,1,100
Meritech Capital Partners,United States,5,100
Merrysunny Wealth,China,1,100
Meson Capital Partners,United States,1,100
Metaplanet,United States,1,100
Microsoft,China,1,100
Microsoft ScaleUp,Other,1,100
Midea Capital,China,1,100
MindWorks Ventures,Other,1,100
Mirae Asset Capital,Other,1,100
Mithril,United States,1,100
Mithril Capital Management,United States,3,100
Mitsubishi Corporation,United Kingdom,1,100
Mizuho Financial Group,Other,1,100
Mobai Capital,China,1,100
Moderne Ventures,United States,2,100
Monashees+,Other,6,100
Monk's Hill Ventures,Other,1,100
Moonshots Capital,United States,1,100
Moore Capital Management,Canada,1,50
Moore Capital Management,United States,1,50
Moore Strategic Ventures,Other,1,50
Moore Strategic Ventures,United States,1,50
MoreVC,Other,1,50
MoreVC,United States,1,50
Morgan Creek Digital,United States,1,100
Morningside Group,China,1,100
Morningside Venture Capital,China,3,100
Morningside Venture Partners,United States,1,100
Morningside Ventures,China,2,100
Motive Partners,Other,1,100
Motive Partners. Apollo Global Management,United States,1,100
Mountain Nazca,Other,1,100
Movile,Other,1,100
Mubadala Capital,Other,1,50
Mubadala Capital,United States,1,50
Multicoin Capital,Other,1,100
Mundi Ventures,Other,1,100
Munich Re Ventures,Other,1,25
Munich Re Ventures,United Kingdom,1,25
Munich Re Ventures,United States,2,50
N5 Capital,China,1,100
NEC,United States,1,100
NFX,United States,1,100
NGP Capital,Other,1,100
NIO Capital,China,1,100
NJF Capital,United States,1,100
NXC,Other,1,100
Naspers,Other,1,100
National Grid Partners,United States,1,100
Navitas Capital,United States,1,100
Net1 UEPS Technologies,Other,1,100
NetEase Capital,China,1,100
Neuberger Berman,United States,1,100
New Enterprise Associates,China,2,8
New Enterprise Associates,Other,1,4
New Enterprise Associates,United States,22,88
New Era Ventures,United States,1,100
New Hope Fund,China,1,100
New Horizon Capital,China,1,100
New Leaf Venture Partners,United States,1,100
NewAlpha,Other,1,100
NewView Capital,United States,1,100
Newion Partners,Other,1,100
Newpath Partners,United States,1,100
Newsion Venture Capital,China,1,100
Next Coast Ventures,United States,1,100
Next Play Ventures,United States,1,100
Next World Capital,United States,2,100
NextView Ventures,United States,2,100
Nextech Invest,United States,1,100
Nexus Venture Partners,Other,3,43
Nexus Venture Partners,United States,4,57
Nichi-Iko Pharmaceutical,Other,1,100
NightDragon Security,United States,1,100
Nine Intelligence Capital,China,1,100
Nintendo,United States,1,100
Nor-Cal Invest,United States,1,100
Nordstar,Other,1,100
Norma Investments,United States,1,100
North Bridge Growth Equity,United States,1,100
North Bridge Venture Partners,United States,1,100
North Island Ventures,Canada,1,100
Northern Light Venture Capital,China,3,100
Northzone Ventures,Other,3,43
Northzone Ventures,United Kingdom,3,43
Northzone Ventures,United States,1,14
Nortzone Ventures,Other,1,100
Norwest Venture Partners,Other,5,29
Norwest Venture Partners,United States,12,71
Noshaq,Other,1,100
Not Boring Capital,United States,1,100
Notion Capital,United Kingdom,1,50
Notion Capital,United States,1,50
Novator Partners,Other,2,67
Novator Partners,United States,1,33
Nyca Partners,United States,1,100
OGCI Climate Investments,United States,1,100
OLX Group,Other,1,100
OMERS Private Equity,Canada,1,100
OMERS Ventures,Canada,1,25
OMERS Ventures,Other,2,50
OMERS Ventures,United States,1,25
Oak HC/FT Partners,Canada,1,33
Oak HC/FT Partners,United States,2,67
Oak Investment Partners,Canada,1,100
Oakhouse Partners,United States,1,100
Obvious Ventures,United States,2,100
Oceanwide Holdings,China,1,100
Octopus Ventures,United Kingdom,1,100
Omidyar Network,Other,2,100
Ondine Capital,Other,1,100
One Equity Partners,Other,1,100
One Luxury Group,United States,1,100
One Peak Partners,United States,1,100
Ontario Teachers' Pension Plan,United Kingdom,1,100
OpenView Venture Partners,United States,2,100
Operator Collective,United States,1,100
Optum Ventures,Other,1,100
Opus Capital,United States,1,100
Orange Digital Ventures,United Kingdom,1,100
OrbiMed Advisors,United States,1,100
Oriental Fortune Capital,China,1,100
Origin Ventures,United States,2,100
Oriza Equity Investment,China,1,100
Oryzn Capital,United States,1,100
Osage University Partners,United States,1,100
Otter Rock Capital,Other,1,100
Outrun Ventures,United Kingdom,1,100
Owl Ventures,United States,2,100
PBM Capital Group,United States,1,100
PSG,United States,2,100
PUC,United States,1,100
Paladin Capital Group,United States,1,100
Pantera Capital,Other,2,40
Pantera Capital,United States,3,60
Paradigm,Other,1,20
Paradigm,United States,4,80
Partech Partners,Other,3,100
Partners Investment,Other,1,100
Passion Capital,United Kingdom,3,100
Passport Capital,United States,1,100
PayPal Ventures,Other,1,25
PayPal Ventures,United States,3,75
Pear,United States,1,100
Pelion Venture Partners,United States,3,100
People Electrical Appliance Group China,China,1,100
Pereg Ventures,Other,1,100
Perpetual Investors,United States,1,100
Peterson Ventures,United States,1,100
Phoenix New Media,China,1,100
Picus Capital,Other,1,100
Pine Brook,United States,1,100
Ping An Insurance,China,1,100
Pitango Venture Capital,Other,2,29
Pitango Venture Capital,United Kingdom,1,14
Pitango Venture Capital,United States,4,57
Piton Capital,Other,1,100
Playground Global,Other,1,33
Playground Global,United States,2,67
Plug and Play Ventures,Canada,1,50
Plug and Play Ventures,Other,1,50
Plum Alley,United States,1,100
Point Nine Capital,Other,1,50
Point Nine Capital,United States,1,50
Point72 Ventures,United States,3,100
Pokemon Company International,United States,1,100
Polaris Partners,United States,2,100
Polychain Capital,Canada,1,20
Polychain Capital,Other,1,20
Polychain Capital,United States,3,60
Porsche,Other,1,100
Portag3 Ventures,Other,1,100
PremjiInvest,Other,1,100
Presidio Ventures,United States,1,100
Primary Venture Partners,United States,1,100
Prime Movers Lab,United States,1,100
Primitive Forest Holdings Group,China,1,100
Princeville Global,Other,1,100
Pritzker Group Venture Capital,United States,2,100
Promecap,United States,1,100
Prometheus Capital,China,1,100
Promus Ventures,United States,1,100
Propel Venture Partners,Other,1,100
Prosus Ventures,Other,5,83
Prosus Ventures,United States,1,17
Providence Equity Partners,United States,2,100
Providence Ventures,United States,1,100
Prysm Capital,Other,1,100
Puluo Capital,China,1,100
QC Capital,China,1,100
QED Investors,Other,5,62
QED Investors,United Kingdom,1,12
QED Investors,United States,2,25
QF Capital,China,1,100
Qatar Investment Authority,Other,1,50
Qatar Investment Authority,United Kingdom,1,50
QiMing Venture Partners,China,2,100
QiMing Venture Partnersl,China,1,100
Qihoo 360 Technology,China,1,100
Qiming Venture Partners,China,15,88
Qiming Venture Partners,Other,2,12
Quadrille Capital,Other,1,100
Qualcomm Ventures,China,3,25
Qualcomm Ventures,Other,5,42
Qualcomm Ventures,United States,4,33
Qualgro,Other,1,100
Quantum Energy Partners,United States,1,100
Questa Capital,United States,1,100
Quiet Capital,United States,1,100
Qumra Capital,United States,1,100
Quona Capital,Other,1,100
RPM Ventures,United States,1,100
RRE Ventures,United States,3,100
RRE Ventures+,United States,1,100
RTP Global,Other,1,100
Railway Pension Trustee Co. Ltd.,Other,1,100
Rakuten,Other,1,100
Rakuten Ventures,Other,1,100
Raven One Ventures,United States,1,100
RedBird Capital Partners,United States,2,100
Redalpine Venture Partners,Other,2,100
Redpoint Ventures,China,2,17
Redpoint Ventures,United States,10,83
Redpoint Ventures China,China,1,50
Redpoint Ventures China,Other,1,50
Redpoint e.ventures,Other,2,100
Refactor Capital,United States,2,100
Relay Ventures,United States,1,100
Rembrandt Venture Partners,United States,2,100
Resolute Ventures,United States,1,100
Rethink Impact,United States,1,100
Revo Capital,Other,1,100
Revolution,United States,1,100
Revolution Growth,United States,2,100
Revolution Ventures,United States,1,100
Rho Ventures,United States,1,100
Rhone Capital,Other,1,100
Ribbit Capital,Other,3,30
Ribbit Capital,United Kingdom,1,10
Ribbit Capital,United States,6,60
Rich Land Capital,China,1,100
Richland Equities,China,1,100
Ridge Ventures,United States,1,100
RiverPark Ventures,United States,2,100
Riverwood Capital,Other,2,100
Robert Bosch Venture Capital,China,1,100
Roche Venture Fund,United States,1,100
Rocketship.vc,Other,1,100
Romulus Capital,United States,1,100
Rothenberg Ventures,United States,1,100
Route 66 Ventures,United States,1,100
Rubicon Technology Partners,United States,1,100
Runa Capital,Other,1,100
Rusnano,Other,1,100
Russia-China Investment Fund,China,2,100
S Capital,United States,2,100
SAIF Partners,Other,1,100
SAIF Partners China,China,2,100
SAIF Partners India,Other,2,100
SAP.iO Fund,United States,1,100
SBI Investment,Other,1,50
SBI Investment,United States,1,50
SBI Investment Korea,Other,1,100
SC.Holdings,United States,2,100
SCB 10X,Other,1,100
SDIC CMC Investment Management,China,2,100
SDIC Innovation Investment Management,China,1,100
SDP Investment,China,1,100
SEB Venture Capital,United Kingdom,1,100
SEED Capital,Other,1,100
SEEK,Other,1,100
SF Holding Co,China,1,100
SIG Asia Investments,China,3,100
SK Ventures,United States,1,100
SOFTBANK Latin America Ventures,Other,1,100
SOSV,Other,1,50
SOSV,United States,1,50
STO Express,China,1,100
STORY3 Capital Partners,Other,1,100
STRIVE,Other,1,100
SV Angel,United States,1,100
SWaN & Legend Ventures,United States,1,100
Sageview Capital,United States,1,100
Salesforce Ventures,Other,2,25
Salesforce Ventures,United States,6,75
Samsung Ventures,Other,1,50
Samsung Ventures,United States,1,50
Sands Capital,Other,1,33
Sands Capital,United States,2,67
Sapphire Ventures,United Kingdom,1,25
Sapphire Ventures,United States,3,75
Scale Venture Partners,United Kingdom,1,14
Scale Venture Partners,United States,6,86
Scentan Ventures,United States,1,100
Schonfeld Strategic Advisors,United States,1,100
SciFi VC,United States,1,100
Seaya Ventures,Other,1,100
Section 32,United States,1,100
Seedcamp,Other,1,100
SeptWolves Ventures,China,1,100
Sequoia Capital,Canada,1,2
Sequoia Capital,China,1,2
Sequoia Capital,Other,9,17
Sequoia Capital,United States,42,79
Sequoia Capital China,China,38,79
Sequoia Capital China,Other,9,19
Sequoia Capital China,United States,1,2
Sequoia Capital India,Other,24,96
Sequoia Capital India,United States,1,4
Sequoia Capital Israel,United States,2,100
Shang Qi Capital,China,1,100
Shanghai Electric Group,China,1,100
Shanghai Puyin Industry,China,1,100
Shasta Ventures,United States,3,100
Shea Ventures,United States,2,100
Shell Ventures,United States,1,100
Shenzhen Capital Group,China,4,100
Shenzhen Qianhe Capital Management Co.,China,1,100
Sherpalo Ventures,Other,1,100
Shunwei Capital Partners,China,5,71
Shunwei Capital Partners,Other,2,29
Siam Commercial Bank,Other,1,100
Siddhi Capital,United States,1,100
Sierra Ventures,China,1,25
Sierra Ventures,United States,3,75
Sigma Prime Ventures,United States,1,100
Signal Peak Ventures,United States,1,100
SignalFire,United States,4,100
Silicon Valley Bank,United States,1,100
Silk Road Huacheng,China,1,100
Silver Lake,United States,5,100
Silver Lake Partners,United States,1,100
Silverlink Capital,China,1,100
Silversmith Capital Partners,United States,5,100
Silverton Partners,United States,2,100
Simon Equity Partners,United States,1,100
Sina Weibo,China,2,100
Sinar Mas Digital Ventures,Other,1,100
SingTel Innov8,Other,2,100
SingulariTeam,Other,1,100
Sino-Ocean Capital,China,1,100
Sinovation Ventures,China,2,100
Sixth Street Growth,United States,1,100
Sixth Street Partners,United States,2,100
Skip Capital,Canada,1,100
Sky9 Capital,China,1,100
Slack Fund,Canada,1,50
Slack Fund,United States,1,50
Slow Ventures,United States,2,100
SmartFin Capital,Other,1,100
Smash Ventures,United States,1,100
Smilegate Investment,United States,1,100
SoGal Ventures,United States,1,100
Social Capital,United States,2,100
Socii Capital,Other,1,100
Sodexo Ventures,United States,1,100
Sofinnova Partners,Other,1,100
SoftBank Group,China,2,6
SoftBank Group,Other,14,40
SoftBank Group,United Kingdom,2,6
SoftBank Group,United States,17,49
SoftBank Group. Monashees+,Other,1,100
SoftBank Latin America Fund,Other,2,100
SoftBankGroup,Other,1,100
Softbank,Other,3,100
Softbank Capital,Other,1,100
Softbank Corp.,Other,1,100
Softbank Group,China,1,11
Softbank Group,Other,3,33
Softbank Group,United States,5,56
Softbank Ventures Asia,Other,1,100
Songhyun Investment,Other,1,100
Soros Fund Management,Other,1,50
Soros Fund Management,United States,1,50
Sound Ventures,United States,7,100
Source Code Capital,China,4,67
Source Code Capital,Other,2,33
Sozo Ventures,Other,1,100
Spar Capital,United States,1,100
Spark Capital,Other,2,20
Spark Capital,United States,8,80
Spectrum Equity,United States,2,100
Speedinvest,Other,1,50
Speedinvest,United States,1,50
Splunk Ventures,United States,2,100
Spotify,United States,1,100
Spring Ventures,Other,1,100
Square Peg Capital,United States,1,100
Sram & Mram Group,United Kingdom,1,100
Stakeboat Capital,Other,1,100
Standard Chartered,China,1,100
Standard Crypto,Other,1,100
Starr Investment Holdings,United States,1,100
Steadview Capital,Other,1,100
Stellaris Venture Partners,Other,1,100
Stonebridge Ventures,Other,1,100
Storm Ventures,United States,4,100
Straumann,Other,1,100
Streamlined Ventures,United States,1,100
Stripe,Other,1,50
Stripe,United States,1,50
Stripes Group,United States,4,100
Struck Capital,United States,1,100
Summer Capital,United States,1,100
Summerhill Venture Partners,United States,1,100
Summit Partners,Canada,1,14
Summit Partners,Other,2,29
Summit Partners,United States,4,57
Sunley House Capital Management,Other,1,100
Sunstone Capital,Other,1,100
Susa Ventures,United States,2,100
Susquehanna Growth Equity,United States,3,100
Sutter Hill Ventures,United States,3,100
Sway Ventures,United States,1,100
T. Rowe Associates,United States,1,100
T. Rowe Price,Canada,1,14
T. Rowe Price,United States,6,86
TA Associates,Other,2,100
TAL Education Group,China,1,100
TDK Ventures,United States,1,100
TDM Growth Partners,Other,1,50
TDM Growth Partners,United States,1,50
TDR Capital,United States,1,100
TI Platform Management,United States,1,100
TLV Partners,Other,2,67
TLV Partners,United States,1,33
TMT Investments,Other,1,100
TPG Alternative & Renewable Technologies,United States,1,100
TPG Capital,Other,1,50
TPG Capital,United States,1,50
TPG Growth,United States,3,100
TQ Ventures,United States,1,100
TSG Consumer Partners,United Kingdom,1,100
TTV Capital,United States,2,100
TVS Capital,Other,1,100
Taigang Venture Capital,China,1,100
Tao Capital Partners,United States,3,100
Target Global,United Kingdom,2,67
Target Global,United States,1,33
Team8,United States,1,100
Teamworthy Ventures,United States,1,100
Technology Crossover Ventures,Canada,1,10
Technology Crossover Ventures,Other,4,40
Technology Crossover Ventures,United Kingdom,1,10
Technology Crossover Ventures,United States,4,40
Temasek,Other,6,55
Temasek,United States,5,45
Temasek Holdings,China,1,25
Temasek Holdings,United Kingdom,1,25
Temasek Holdings,United States,2,50
Temasek Holdings Ltd.,China,1,100
Ten Eleven Ventures,United States,2,100
Tenaya Capital,United States,3,100
Tencent,China,6,86
Tencent,Other,1,14
Tencent Holdings,China,19,61
Tencent Holdings,Other,7,23
Tencent Holdings,United States,5,16
Tencent Investment,China,1,100
Tengelmann Ventures,Other,1,100
The Blue Venture Fund,United States,1,100
The Carlyle Group,Other,1,25
The Carlyle Group,United States,3,75
The Column Group,United States,2,100
The Raine Group,Other,2,100
The Rise Fund,United States,2,100
The Times Group,Other,1,100
The Venture Collective,United States,1,100
Third Point,United States,1,100
Thirty Five Ventures,United States,1,100
Thoma Bravo,Other,1,33
Thoma Bravo,United States,2,67
Threshold Ventures,United States,5,100
Thrity Five Ventures,United States,1,100
Thrive Capital,United Kingdom,1,6
Thrive Capital,United States,16,94
Tianjin Haihe Industry Fund,China,1,100
Tiantu Capital,China,2,100
Tiantu Capital Co.,China,1,100
Tiger Brokers,Other,1,100
Tiger Global,United States,2,100
Tiger Global Management,China,2,4
Tiger Global Management,Other,21,37
Tiger Global Management,United Kingdom,2,4
Tiger Global Management,United States,32,56
Tiger Global management,China,1,50
Tiger Global management,United States,1,50
Toba Capital,Other,1,100
Tola Capital,United States,1,100
Tomales Bay Capital,United States,1,100
TopoScend Capital,China,1,100
Toscafund Asset Management,United Kingdom,1,100
TowerBrook Capital Partners,Other,1,100
Toyota Motor Corporation,Other,1,100
Trammell Ventures,United States,1,100
Trane Technologies,Canada,1,100
Transamerica Ventures,United States,1,100
Transformation Capital,Other,1,100
Trellis Partners,United States,1,100
Triangle Peak Partners,United States,1,100
Tribe Capital,United States,2,100
Trifecta Capital,Other,2,100
Trifecta Capital Advisors,Other,1,100
Trinity Ventures,United States,5,100
TriplePoint Capital,Other,1,50
TriplePoint Capital,United States,1,50
Tru Arrow Partners,United States,1,100
True,United States,1,100
True Ventures,United States,2,100
Trustbridge Partners,China,3,100
Tull Investment Group,United States,1,100
Tus Holdings,China,1,100
Tusk Ventures,United States,1,100
Two Sigma Ventures,Canada,1,20
Two Sigma Ventures,United States,4,80
U.S. Venture Partners,United States,1,100
U.S.-China Green Fund,China,1,100
UBS,United States,1,100
UBS Asset Management,United States,1,100
UNITY VENTURES,China,1,100
US Venture Partners,United States,1,100
UiPath Ventures,United States,1,100
Uncork Capital,United States,5,100
Undisclosed,Other,1,50
Undisclosed,United States,1,50
Unicom Innovation Venture Capital,China,2,100
Uniion Square Ventures,United States,1,100
Unilever Ventures,United Kingdom,1,100
Union Square Ventures,Canada,1,17
Union Square Ventures,United States,5,83
Uniqa Ventures,Other,1,50
Uniqa Ventures,United States,1,50
Unkork Capital,United States,1,100
Unternehmertum Venture Capital,Other,1,100
Upfront Ventures,Other,1,20
Upfront Ventures,United States,4,80
Upper90,United States,1,100
Utrust Venture Capital,China,1,100
V FUND,China,1,100
V Star Capital,China,1,100
VGames,United States,1,100
VY Capital,Other,1,33
VY Capital,United States,2,67
Valar Ventures,Other,4,57
Valar Ventures,United States,3,43
Valiant Capital Partners,Other,1,100
Valo Ventures,United States,1,100
Valor Capital Group,Other,3,100
Valor Equity Partners,United States,1,100
Varengold Bank,Other,1,100
Vast Ventures,United States,1,100
Vattenfall,Other,1,100
Vcanbio,China,1,100
VebVentures,Other,1,100
Venrock,Canada,1,10
Venrock,United States,9,90
Ventech China,China,1,100
Ventura Capital,United Kingdom,1,100
Venture Highway,Other,2,100
Venture51,United States,1,100
VentureLink,Canada,1,100
Verdane Capital,Other,1,100
Verissimo Ventures,United States,1,100
Verizon Ventures,United States,1,100
Version One Ventures,Canada,1,50
Version One Ventures,United States,1,50
Vertex Ventures,Other,1,33
Vertex Ventures,United States,2,67
Vertex Ventures China,China,1,100
Vertex Ventures Israel,United States,1,100
Vertex Ventures SE Asia,Other,2,100
Vickers Venture Partners,United States,1,100
Victory Park Capital,United States,1,100
Viking Global Investors,Other,1,20
Viking Global Investors,United States,4,80
Vintage Investment Partners,Other,1,50
Vintage Investment Partners,United States,1,50
Viola Ventures,Other,1,50
Viola Ventures,United States,1,50
Visa Ventures,Other,1,100
Vision Knight Capital,China,1,100
Vision Plus Capital,China,1,33
Vision Plus Capital,Other,2,67
Vista Equity Partners,Canada,1,33
Vista Equity Partners,United States,2,67
Vitruvian Partners,Other,1,100
Vivo Capital,China,1,100
Volcanics Ventures,China,1,100
Volkswagen,United Kingdom,1,100
Volkswagen Group,Other,1,50
Volkswagen Group,United States,1,50
Vostok New Ventures,Other,1,50
Vostok New Ventures,United Kingdom,1,50
Vulcan Capital,Other,1,100
WRVI Capital,United States,1,100
Wakefield Group,United States,1,100
Walden International,China,1,50
Walden International,United States,1,50
Walden Venture Capital,United States,1,100
Wamda Capital,Other,1,100
Wanxin Media,China,1,100
Warbug Pincus,China,1,100
Warburg Pincus,Canada,1,8
Warburg Pincus,China,5,42
Warburg Pincus,Other,3,25
Warburg Pincus,United States,3,25
Warmsun Holding,China,1,100
Wavemaker Partners,United States,1,100
We Capital,China,1,100
Webb Investment Network,United States,1,100
Wellington Management,United Kingdom,1,100
WestBridge Capital,Other,3,75
WestBridge Capital,United States,1,25
WestCap Group,United States,3,100
Western Capital Management,China,1,100
White Star Capital,Other,1,100
Wildcat Capital Management,United States,1,100
Wincove,United States,1,100
Wing Venture Capital,United States,3,100
Winklevoss Capital,United States,1,100
Wipro Ventures,United States,1,100
Wonder Ventures,United States,1,100
Woori Investment,Other,1,100
Work-Bench,United States,1,100
Workday Ventures,United States,1,100
World Innovation Lab,Other,1,100
World Lab Innovation,United States,1,100
XAnge Private Equity,Other,1,100
XBTO Ventures,United States,1,100
XVC Venture Capital,China,1,50
XVC Venture Capital,United States,1,50
Xiang He Capital,China,1,50
Xiang He Capital,Other,1,50
Xiaomi,China,1,100
Xingwang Investment Management,China,2,100
Y Combinator,Other,3,13
Y Combinator,United States,20,87
YL Ventures,United States,1,100
Yabeo Capital,Other,1,100
Yaxia Automobile,China,1,100
Yinhong Equity Investment Fund,China,1,100
Yinxinggu Capital,China,1,100
York Capital Management,Other,1,100
Yuanda Venture Investment,China,1,100
Yuanta Investment Korea,Other,1,100
Yunfeng Capital,China,3,100
Yunqi Partners,China,1,100
Zeal Capital Partners,United States,1,100
Zeev Ventures,Other,1,12
Zeev Ventures,United States,7,88
Zhangjiang Haocheng Venture Capital,China,1,100
ZhenFund,China,5,71
ZhenFund,Other,1,14
ZhenFund,United States,1,14
Zheshang Venture Capital,China,1,100
Zhongrong International Trust,China,1,100
and Sequoia Capital China,China,1,100
btov Partners,Other,1,100
capitalG,United States,6,100
dRx Capital,United States,1,100
dmg ventures,United Kingdom,1,100
e.ventures,Other,1,50
e.ventures,United States,1,50
eWTP Capital,Other,1,100
enaya Capital,United States,1,100
frst,United Kingdom,1,100
iFLYTEK,China,1,100
iFly,United States,1,100
iNovia Capital,United States,1,100
iSeed Ventures,United States,1,100
iTech Capital,Other,1,100
iVision Ventures,China,1,100
index Ventures,United Kingdom,1,100
nan,China,1,100
next47,Other,1,33
next47,United States,2,67
s28 Capital,United States,2,100
